Unnamed: 0,content,L,G,B,T,O,NR
1027,@i_MarilynMonroe lo que pasa es que marimacha. Porque él otro se hizo joto,1,1,0,0,0,0
367,@Adan_Coromoto @NicolasMaduro Par de maricones!!!,0,1,0,0,0,0
549,@pollobv puto de mierda pero después de esto tu carrera 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👌 HDP,0,1,0,0,0,0
282,"Puto: check
Joto: check
Maricón: check

El problema es suyo, no nuestro.",0,1,0,0,0,0
678,"@michohansen @Odin_Dupeyron ""Está muy gay tu ""Lago de@los Cisnes"", Tchaikovski, ¿no tienes algo más hetero por ahí?"" 🧐",0,1,0,0,0,0
527,@mely_dgr fue un sábado ps creo q si tenía pelo wero jajaja le habla al jotito q vive por tu casa ya sabes quien ?,0,1,0,0,0,0
49,@AlejandroMay11 @IvanElSonrix @jorge_sancarr @Jackskinripper @Robertito_Bravo Par de closeteros.,0,1,0,0,0,0
497,"Me considero open mind, pero tengo mis límites, conocí a un tipo que dice ser no binario/queer, usa bigote y barba, usa tacones , botas de prosti, ropa de niñas, en verdad raya en lo ridículo, me causa intriga qué pasará por la mente de esas personas. 🤔",0,0,0,0,1,0
904,"Nosotros los rockeros: pinches BTS son bien puros. 

Nosotros los rockeros tambien: calmateeee cabron, Freddy Mercury no era url Era su Putisima majestad.",0,1,0,0,0,0
494,Que maricas se ven los Corazones en cada #Tweet !,0,1,0,0,0,0
504,@ElizaSonrisas @ballartaexist KHA? Ahora que. No vayas a decir que eres trans o algo así.,0,0,0,1,0,0
461,@iPalazuelos69 @BeatrizGMuller @LedVarela Puta madre si sigues al joto de culo de hacha ya se de que lado haces agua Jajajajaja Jajajajaja,0,1,0,0,0,0
542,"Te mandaron al chorizo, puñal. url",0,1,0,0,0,0
286,"Así nuestro México que consulta a charlatán y transsexual para ver como le irá este año, dan hueva paisanos #MhoniEsHechiceroDeSatanas",0,0,0,1,0,0
996,Tantos tatuajes y yo taaaaan pobre y marica al dolor 😖,0,1,0,0,1,0
115,Puto viejo joto alvvvvvvv pícate el culo con tu punto formato a3 y las vergas esas de ishikawa me la pelan alv pendejo metete el 6 por la verga alvvvvvvvvv,0,1,0,0,0,0
755,"100% de los hombres: ""eh we. Eres bien marihuano verdad cabron, te vez bien pinche lil pump""
75% de las mujeres: ""hay te vez super lindo, y niño bueno""
15% de las mujeres: ""vi güerito de ojo de color y dije 'ha de ser bien pinche puto' ""

Siempre, SIEMPRE",0,1,0,0,0,0
490,@FresaTigre @lunancys12 @blanks_rayada Te vez más joto sin barba,0,1,0,0,0,0
785,Respondiendo a la pregunta: solo deja de sacarte la ceja y de hacer duckface pinche marica de mierda. url,0,1,0,0,0,0
218,@Davidra00715781 @DonVocero El que promete debe cumplir. Quejarse o lloriquear es de maricones. Que cumpla lo que prometió o a la chingada. Sigo esperando la gasolina a 10 pesos y que los narcos cambien las armas por tractores y el crecimiento al 6 por ciento anual. Tu no? Te contentas con adorarlo?,0,1,0,0,0,0
1029,@eyvindlips jajaja pronto te superare puñal!!!,0,1,0,0,0,0
481,"@carlosjuarez22 @TMFCoficial @ClubSantos Para mi que @deciodemaria y @Irarragorri son mayates por eso a todo le dice que si, me causan asco",0,1,0,0,0,0
620,Parezco puto Omi de duelo Xiaolin url,0,1,0,0,1,0
850,@xevtfm si puro joto andaba chupando caña,0,1,0,0,0,0
247,"@NachTavera Ni estes de joto, yo siempre te hablo perro",0,1,0,0,0,0
78,@lemur____ Un maricon ofendido 😂,0,1,0,0,0,0
604,@jessearan @GabrielaSuP @merthGar @Denissemg95 @barbiea92 Lesbianas tenian que ser,1,0,0,0,0,0
76,La partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,0,1,0,0,0,0
206,No gusta zayn? No preocupes ya sabia that eras lesbiana.,1,0,0,0,0,0
348,Solo los jotos. url,0,1,0,0,0,0
986,"Nombres de Puñal:
Leonardo 
Emmanuel 
Sergio
Omar
Saúl
Eric
Eduardo
Rodrigo
Jorge

Ese es todo el tuit gracias por su atención",0,1,0,0,0,0
551,Pinché sociedad jota. Ya ni aguantan nada alv,0,1,0,0,0,0
221,🥰 Monterrey (y sus mariquitas) url,0,1,0,0,0,0
1061,Che marica url,0,1,0,0,0,0
869,"@elpadrejesus_ No entiendo x que si dios hizo hombre mujer, ahora dan tanta publicidad a lod gays es un mal ejemplo a los ninos se me hace una degeneracion el que nace asi se acepta, pero ahora todos son que triste",0,1,0,0,0,0
534,"Puto no es el que llora viendo Titanic, puto es el que cuando se enojaba se llevaba su balón.",0,1,0,0,0,0
513,Arrobalo @ viejo joto.,0,1,0,0,0,0
51,@michel_2370 Siiii ¡¡¡  fue maricon ¡¡¡¡,0,1,0,0,0,0
63,"@Rober_Paradise @MundoAtlas @brizuela27_cone dejo ir todo por nada, aah pero el muuy feliz de ser un chiva maricon ✊✊✊",0,1,0,0,0,0
553,Los vatos sacan el lado marica y las morras el lado sharmuta,0,1,0,0,0,0
526,@el_viejopaulino  @DiegoMortera @Jvillarrealn  jajajajajajajaja salió llorando el joto cabron jajjj,0,1,0,0,0,0
686,Cuando tenga una obra contractare albañiles negras lesbianas porque #EquidadDeGenero e #Incluyente.,1,0,0,0,0,0
898,"""Dan asco las lesbianas xD"" -@MarijoPolanco",1,0,0,0,0,0
265,"“La gente no binarie puede no usar reloj, usar dos relojes, usar reloj en cualquier mano, usar medio reloj, usar reloj solo en los pies, o ninguna de estas o todas de estas al tiempo.” -Manual de Urbanidad de Carreño, edición 2023",0,0,0,0,1,0
