Unnamed: 0,content,L,G,B,T,O,NR
0,¡qué poca madre ¡pero joto manceramiguelmx machorra cdhdf prefieren defender malditos delincuentes penademuerteya url,1,1,0,0,0,0
1,considero ser luz nunca rendiré tributo cfe bola jotos,0,1,0,0,0,0
2,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: vaya puñurl:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: url,0,1,0,0,1,0
3,llore jota,0,1,0,0,0,0
4,mauritrevino_ pinche joto,0,1,0,0,0,0
5,heeywera pff bien marica,0,1,0,0,0,0
6,youaremycheese bien puto aguantas mañaana mezcal chido oaxaca,0,1,0,0,0,0
7,asco vida santa asco corazón santo tl lleno jotos haciendo ejercicio poooooooooog,0,1,0,0,0,0
8,marica :raised_fist::oncoming_fist:,0,1,0,0,0,0
9,ay pinche marica saliste,0,1,0,0,0,0
10,maricon,0,1,0,0,0,0
11,rgilzuarth carlosjoaquin ahora si verdad mariquitas seguridad ciudadanos va reforzar,0,1,0,0,0,0
12,marica solo quiere deslindar promesas campas url,0,1,0,0,0,0
13,enriquevonbeas perrorabiosoca rpizarrot mariquita enriquevonbeas,0,1,0,0,0,0
14,jhonatangaribay ajajajaja si huanguea puño vuelve puñal manuela palma xd,0,1,0,0,0,0
15,oh wow fin entendí viene cuento “ trans ” url,0,0,0,1,0,0
16,homosexuales hecho varios amigo americanistas allá punterías,0,1,0,0,0,0
17,pinche jota,0,1,0,0,0,0
18,pinche joto,0,1,0,0,0,0
19,pide disney adoctrine hijos ideología género programas infantiles firma url …,0,0,0,0,1,0
20,_elan_ osirismiguel mariquita menos,0,1,0,0,0,0
21,rubencharvel maricón tal chineo,0,1,0,0,0,0
22,sabes si tuitera sólo rara travesti,0,0,0,1,0,0
23,gripe mariquitas :flexed_biceps::running_shirt::running_shoe::blue_heart::person_lifting_weights: wellness gym url,0,1,0,0,0,0
24,chingos chicas guapas gdl ridículo tantas url mamen así puede .. salgan,0,0,0,1,0,0
25,luisa_vox tipejo homosexual odia èl mismo,0,1,0,0,0,0
26,pakechii mauricioclarkmx gay ..,0,1,0,0,0,0
27,quieren mundo sinhomofobia pues desaparezcan jotos maricones putos gay lesbianas machorras tortilleras demás sinónimos,1,1,0,0,1,0
28,mexicovsdominicana ve q arreglado q méxico gane falso rosique puñal mao guau puto cabron,0,1,0,0,0,0
29,vmgleza esperé respuesta pregunta sabes dicen gay ... '' palomitas chile '',0,1,0,0,0,0
30,xneritax bien gustaba pequeño marica p,0,1,0,0,0,0
31,ahora si apuesta maricon turko_dager milán volverá llorar octavo jajaja,0,1,0,0,0,0
32,mamada eh seguramente irán pendeja marcha ma closeteros marchaporlafamilia,0,1,0,0,1,0
33,oficial_aaadave margarita_ramss calmate afeminado,0,1,0,0,0,0
34,-eres mente abierta -no -y homosexuales -no culero alumnos uvm campus tuxtla,0,1,0,0,0,0
35,santiagodelacm puñal,0,1,0,0,0,0
36,peponrsk paliplax davidrincongz chingue madre puñal chivista pali,0,1,0,0,0,0
37,oye ¿ya dijiste padre homosexual -no inscribí facultad comunicación,1,1,0,0,0,0
38,ser homosexual implica nunca agujero equivocado punto gay,0,1,0,0,1,0
39,seguro ma profundo infierno lugar reservado persona utilizan escopetas linea maricas,0,1,0,0,0,0
40,neee alchile váyanse verga pinch jotos bye,0,1,0,0,0,0
41,adivinen maricas dejaron sola viendo anabell dio miedo :face_without_mouth: si hermanos :face_with_hand_over_mouth::pleading_face:,0,1,0,0,0,0
42,swisingley díselo transgénero ganó miss españa,0,0,0,1,0,0
43,jpequenoc edumascorro bien marica,0,1,0,0,0,0
44,pinche notó maricon vente hacer lío lado :face_with_tears_of_joy:,0,1,0,0,0,0
45,rusozamogilny decían margarita atlas hoy mariquitas limosna puntos,0,1,0,0,0,0
46,homosexual persona gusta persona mismo sexo puto lea mecausogracia ehhhhhhputo,0,1,0,0,0,0
47,aleecvzs bien marica,0,1,0,0,0,0
48,el_universal_mx bien transgénero jamás igual mujer,0,0,0,1,0,0
49,ivanelsonrix jorge_sancarr jackskinripper robertito_bravo par closeteros,0,1,0,0,0,0
50,genarolozano gabrielguerrac cárcel marica deben delincuentes infringen ley hicieron policía guadalajara url,0,1,0,0,0,0
51,siiii ¡¡¡ maricon ¡¡¡¡,0,1,0,0,0,0
52,rarito negro idiota,0,1,0,0,1,0
53,_mikastro nalgas si lesbiana jajaja,1,0,0,0,0,0
54,da tanda maricon,0,1,0,0,0,0
55,mariquita mariquita niña siempre gritas,0,1,0,0,0,0
56,flaminkgoes ufa amigo si gay declaramos príncipe,0,1,0,0,0,0
57,yovanymartillo chido joto arrobo bloqueado,0,1,0,0,0,0
58,ing química igual jotos mamen url,0,1,0,0,0,0
59,sociedad preferencias sexuales moda libre elección aparentemente innata aborrezco `` homosexuales '',1,1,0,0,0,0
60,jota cajera casi avienta dinero dije quería redondear :face_with_tears_of_joy:,1,1,0,0,0,0
