Unnamed: 0,content,L,G,B,T,O,NR
1027,@i_marilynmonroe lo que pasa es que marimacha. porque él otro se hizo joto,1,1,0,0,0,0
367,@adan_coromoto @nicolasmaduro par de maricones!!!,0,1,0,0,0,0
549,@pollobv puto de mierda pero después de esto tu carrera 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👌 hdp,0,1,0,0,0,0
282,"puto: check joto: check maricón: check el problema es suyo, no nuestro.",0,1,0,0,0,0
678,"@michohansen @odin_dupeyron ""está muy gay tu ""lago de@los cisnes"", tchaikovski, ¿no tienes algo más hetero por ahí?"" 🧐",0,1,0,0,0,0
527,@mely_dgr fue un sábado ps creo q si tenía pelo wero jajaja le habla al jotito q vive por tu casa ya sabes quien ?,0,1,0,0,0,0
49,@alejandromay11 @ivanelsonrix @jorge_sancarr @jackskinripper @robertito_bravo par de closeteros.,0,1,0,0,0,0
497,"me considero open mind, pero tengo mis límites, conocí a un tipo que dice ser no binario/queer, usa bigote y barba, usa tacones , botas de prosti, ropa de niñas, en verdad raya en lo ridículo, me causa intriga qué pasará por la mente de esas personas. 🤔",0,0,0,0,1,0
904,"nosotros los rockeros: pinches bts son bien puros. nosotros los rockeros tambien: calmateeee cabron, freddy mercury no era url era su putisima majestad.",0,1,0,0,0,0
494,que maricas se ven los corazones en cada tweet !,0,1,0,0,0,0
504,@elizasonrisas @ballartaexist kha? ahora que. no vayas a decir que eres trans o algo así.,0,0,0,1,0,0
461,@ipalazuelos69 @beatrizgmuller @ledvarela puta madre si sigues al joto de culo de hacha ya se de que lado haces agua jajajajaja jajajajaja,0,1,0,0,0,0
542,"te mandaron al chorizo, puñal. url",0,1,0,0,0,0
286,"así nuestro méxico que consulta a charlatán y transsexual para ver como le irá este año, dan hueva paisanos mhonieshechicerodesatanas",0,0,0,1,0,0
996,tantos tatuajes y yo taaaaan pobre y marica al dolor 😖,0,1,0,0,1,0
115,puto viejo joto alvvvvvvv pícate el culo con tu punto formato a3 y las vergas esas de ishikawa me la pelan alv pendejo metete el 6 por la verga alvvvvvvvvv,0,1,0,0,0,0
755,"100% de los hombres: ""eh we. eres bien marihuano verdad cabron, te vez bien pinche lil pump"" 75% de las mujeres: ""hay te vez super lindo, y niño bueno"" 15% de las mujeres: ""vi güerito de ojo de color y dije 'ha de ser bien pinche puto' "" siempre, siempre",0,1,0,0,0,0
490,@fresatigre @lunancys12 @blanks_rayada te vez más joto sin barba,0,1,0,0,0,0
785,respondiendo a la pregunta: solo deja de sacarte la ceja y de hacer duckface pinche marica de mierda. url,0,1,0,0,0,0
218,@davidra00715781 @donvocero el que promete debe cumplir. quejarse o lloriquear es de maricones. que cumpla lo que prometió o a la chingada. sigo esperando la gasolina a 10 pesos y que los narcos cambien las armas por tractores y el crecimiento al 6 por ciento anual. tu no? te contentas con adorarlo?,0,1,0,0,0,0
1029,@eyvindlips jajaja pronto te superare puñal!!!,0,1,0,0,0,0
481,"@carlosjuarez22 @tmfcoficial @clubsantos para mi que @deciodemaria y @irarragorri son mayates por eso a todo le dice que si, me causan asco",0,1,0,0,0,0
620,parezco puto omi de duelo xiaolin url,0,1,0,0,1,0
850,@xevtfm si puro joto andaba chupando caña,0,1,0,0,0,0
247,"@nachtavera ni estes de joto, yo siempre te hablo perro",0,1,0,0,0,0
78,@lemur____ un maricon ofendido 😂,0,1,0,0,0,0
604,@jessearan @gabrielasup @merthgar @denissemg95 @barbiea92 lesbianas tenian que ser,1,0,0,0,0,0
76,la partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,0,1,0,0,0,0
206,no gusta zayn? no preocupes ya sabia that eras lesbiana.,1,0,0,0,0,0
348,solo los jotos. url,0,1,0,0,0,0
986,nombres de puñal: leonardo emmanuel sergio omar saúl eric eduardo rodrigo jorge ese es todo el tuit gracias por su atención,0,1,0,0,0,0
551,pinché sociedad jota. ya ni aguantan nada alv,0,1,0,0,0,0
221,🥰 monterrey (y sus mariquitas) url,0,1,0,0,0,0
1061,che marica url,0,1,0,0,0,0
869,"@elpadrejesus_ no entiendo x que si dios hizo hombre mujer, ahora dan tanta publicidad a lod gays es un mal ejemplo a los ninos se me hace una degeneracion el que nace asi se acepta, pero ahora todos son que triste",0,1,0,0,0,0
534,"puto no es el que llora viendo titanic, puto es el que cuando se enojaba se llevaba su balón.",0,1,0,0,0,0
513,arrobalo @ viejo joto.,0,1,0,0,0,0
51,@michel_2370 siiii ¡¡¡ fue maricon ¡¡¡¡,0,1,0,0,0,0
63,"@rober_paradise @mundoatlas @brizuela27_cone dejo ir todo por nada, aah pero el muuy feliz de ser un chiva maricon ✊✊✊",0,1,0,0,0,0
553,los vatos sacan el lado marica y las morras el lado sharmuta,0,1,0,0,0,0
526,@el_viejopaulino @diegomortera @jvillarrealn jajajajajajajaja salió llorando el joto cabron jajjj,0,1,0,0,0,0
686,cuando tenga una obra contractare albañiles negras lesbianas porque equidaddegenero e incluyente.,1,0,0,0,0,0
898,"""dan asco las lesbianas xd"" -@marijopolanco",1,0,0,0,0,0
265,"“la gente no binarie puede no usar reloj, usar dos relojes, usar reloj en cualquier mano, usar medio reloj, usar reloj solo en los pies, o ninguna de estas o todas de estas al tiempo.” -manual de urbanidad de carreño, edición 2023",0,0,0,0,1,0
973,"jotos, respétense tantito. no jodan. url",0,1,0,0,0,0
570,@jorge77933247 @emmanueljulian las dos son de marica da igual 🤣😂🤣,0,1,0,0,0,0
