,content,L,G,B,T,O,NR
0,"¡QUÉ POCA MADRE! ¡PERO EL JOTO @ManceraMiguelMX Y LA MACHORRA DE LA @CDHDF PREFIEREN DEFENDER A LOS MALDITOS DELINCUENTES!

#PenaDeMuerteYa url",1,1,0,0,0,0
1,"Me considero un ser de luz!
(Pero nunca le rendiré tributo a CFE) bola de jotos !",0,1,0,0,0,0
2,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 vaya puñurl🤣🤣🤣🤣🤣🤣🤣🤣🤣 url,0,1,0,0,1,0
3,No llore jota,0,1,0,0,0,0
4,@mauritrevino_ pinche joto,0,1,0,0,0,0
5,@HeeyWera pff es bien marica,0,1,0,0,0,0
6,"@youaremycheese eres bien puto. No aguantas nada, mañaana habrá mezcal y del chido de Oaxaca.",0,1,0,0,0,0
7,"Que asco mi vida santa
Que asco corazón santo. 
mi TL está lleno de jotos haciendo ejercicio
POOOOOOOOOOG",0,1,0,0,0,0
8,MARICA! ✊👊,0,1,0,0,0,0
9,Ay! Que pinche marica me saliste.,0,1,0,0,0,0
10,@santigg108 eres un maricon,0,1,0,0,0,0
11,@rgilzuarth @CarlosJoaquin Ahora si verdad mariquitas y la seguridad de los ciudadanos cuando la vas a reforzar,0,1,0,0,0,0
12,Este marica solo se quiere deslindar de sus promesas de campas. url,0,1,0,0,0,0
13,@camotero1944 @EnriqueVonBeas @PerroRabiosoCA @Rpizarrot Es una mariquita el @EnriqueVonBeas,0,1,0,0,0,0
14,@JhonatanGaribay ajajajaja si no es que se huanguea tu puño y se vuelve puñal como manuela palma xD,0,1,0,0,0,0
15,Oh wow. Por fin entendí de donde viene ese cuento de “los trans”. url,0,0,0,1,0,0
16,Yo no tengo nada en contra de los homosexuales. De hecho tengo varios amigos americanistas pero allá ellos y sus punterías.,0,1,0,0,0,0
17,Pinche jota.,0,1,0,0,0,0
18,Pinche joto!!!!,0,1,0,0,0,0
19,Pide a @Disney que no adoctrine a nuestros hijos con ideología de género en sus programas infantiles. FIRMA:  url …,0,0,0,0,1,0
20,@_elan_ @OsirisMiguel Un mariquita menos :3,0,1,0,0,0,0
21,@RubenCharvel El maricón es el tal chineo!,0,1,0,0,0,0
22,Como cuando no sabes si la tuitera sólo es un poco rara o es un travesti.,0,0,0,1,0,0
23,La gripe es para mariquitas. 💪🎽👟💙🏋 (@ Wellness Gym) url,0,1,0,0,0,0
24,"Chingos de chicas guapas en GDL. Pero ridículo como hay tantas que son url No mamen, así no se puede. Es el 2015, ya.. Salgan.",0,0,0,1,0,0
25,@Luisa_Vox Este tipejo es homosexual. Se odia èl mismo.,0,1,0,0,0,0
26,@pakechii Fuera a @mauricioclarkmx sin gay..,0,1,0,0,0,0
27,"Quieren un mundo #SinHomofobia pues que desaparezcan los jotos, maricones, putos, gays, lesbianas, machorras, tortilleras y demás sinónimos",1,1,0,0,1,0
28,#MexicoVsDominicana como se ve q todo está arreglado para q México gane es falso y Rosique no seas puñal Mao guau no seas puto cabron,0,1,0,0,0,0
29,"@vmgleza No esperé la respuesta, es una pregunta: Sabes como le dicen a los Gays ...""Palomitas con chile""",0,1,0,0,0,0
30,@xneritax bien que te gustaba el pequeño marica :P,0,1,0,0,0,0
31,Ahora si apuesta maricon @turko_dager  tu Milán volverá a llorar en octavos jajaja,0,1,0,0,0,0
32,"Que mamada eh !
Seguramente todos los que irán a esa pendeja marcha , son mas closeteros que nada! #MarchaPorLaFamilia",0,1,0,0,1,0
33,@oficial_AAAdave @Margarita_Ramss @TonyElpatron97 Calmate afeminado,0,1,0,0,0,0
34,"-Eres de mente abierta
-No porque?
-Y esos homosexuales
-No seas culero, son alumnos de la @UVM campus tuxtla.",0,1,0,0,0,0
35,@Santiagodelacm puñal,0,1,0,0,0,0
36,@gallon100 @peponrsk @paliplax @DAVIDRINCONGZ Que chingue su madre el puñal chivista del pali,0,1,0,0,0,0
37,"- Oye ¿ya les dijiste a tus padres que eres homosexual?  -No, pero ya me inscribí en la facultad de comunicación.",1,1,0,0,0,0
38,"Ser homosexual implica que nunca hay agujero equivocado.

Punto para los gays.",0,1,0,0,1,0
39,"Estoy seguro que en lo mas profundo del infierno hay un lugar reservado para esas personas que utilizan escopetas en linea, maricas.",0,1,0,0,0,0
40,"neee alchile váyanse a la verga pinches jotos, bye",0,1,0,0,0,0
41,Adivinen quien maricas me dejaron sola viendo Anabell por qué les dio miedo 😶  si mis hermanos 🤭🥺,0,1,0,0,0,0
42,@swisingley Díselo a el transgénero que ganó miss España,0,0,0,1,0,0
43,@jpequenoc @EduMascorro Bien marica,0,1,0,0,0,0
44,"Pinche notó maricon, vente hacer lío a otro lado 😂",0,1,0,0,0,0
45,@RusoZamogilny Antes les decían la Margaritas del Atlas hoy son LAS MARIQUITAS LIMOSNA PUNTOS!!!,0,1,0,0,0,0
46,"Homosexual: persona que le gusta otra persona de su mismo sexo
Puto: el que lo lea 
#Mecausogracia #EHHHHHHPUTO!",0,1,0,0,0,0
47,@aLeeCvzs Es que sí eres bien marica.,0,1,0,0,0,0
48,@El_Universal_Mx Más bien un transgénero jamás será igual a una mujer.,0,0,0,1,0,0
49,@AlejandroMay11 @IvanElSonrix @jorge_sancarr @Jackskinripper @Robertito_Bravo Par de closeteros.,0,1,0,0,0,0
50,"@genarolozano @gabrielguerrac En la cárcel marica, donde deben estar los delincuentes que infringen la Ley.

Como los que hicieron esto a un policía de Guadalajara url",0,1,0,0,0,0
51,@michel_2370 Siiii ¡¡¡  fue maricon ¡¡¡¡,0,1,0,0,0,0
52,Rarito negro idiota,0,1,0,0,1,0
53,"@_mikastro No tiene nalgas, si es lesbiana jajaja",1,0,0,0,0,0
54,@alexsuarez_23 Da tu tanda maricon,0,1,0,0,0,0
55,"Mariquita mariquita, como niña siempre gritas",0,1,0,0,0,0
56,"@FlamInkgoes ufas amigos, si no fuera algo muy gay te declaramos nuestro príncipe.",0,1,0,0,0,0
57,"@OmarHdez69 @YovanyMartillo Ese también es chido, al otro joto no lo arrobo porque me tiene bloqueado",0,1,0,0,0,0
58,"En ING química son igual de jotos, no mamen. url",0,1,0,0,0,0
59,"En una sociedad donde las preferencias sexuales son una moda y no una libre elección aparentemente innata, aborrezco a los ""homosexuales"".",1,1,0,0,0,0
60,La jota cajera casi me avienta el dinero cuando le dije que no quería redondear. 😂,1,1,0,0,0,0
61,Me caga que los jotos se hagan los que url,0,1,0,0,0,0
62,"Buena noche: deporte, desestres, cena, amigos, maricas que cuidan la línea jajaja ches jotos. A descansar se a dicho",0,1,0,0,0,0
63,"@Rober_Paradise @MundoAtlas @brizuela27_cone dejo ir todo por nada, aah pero el muuy feliz de ser un chiva maricon ✊✊✊",0,1,0,0,0,0
64,Que pena que el mejor performance sea de unas vestidas. Que malos premios #VMAs,0,0,0,1,0,0
65,@JoseRive_ @navarreted96 @ailed_merida Maricas ustedes yo no,0,1,0,0,0,0
66,"@manunisima NO SE COMO SUCEDIÓ ESO. LA LESBIANA LOCA ESA DE TU EDIFICIO SEGURO

/cc @soylakikis",1,0,0,0,0,0
67,"Me reeemputa que dejen jugar mujeres trans en torneos femeniles, como vergas bloqueas a un@ cabron@ de 1.80 que pesa el doble que tú y tiene el triple de fuerza",0,0,0,1,0,0
68,@Kenya_coronado Cállese vieja lesbiana,1,0,0,0,0,0
69,Ptm ya ando de jotO jajajajajajajajajaja kiero llorar por las felicitaciones q me han dado u.u,0,1,0,0,0,0
70,"@ErikaAraujo1 @Reporte98_5 en contra, debe ser papá y mamá, más no gay y gay. Saludos desde el sur del df. Tráfico fluido el sabueso dl Sur",0,1,0,0,0,0
71,"@benemeritosGC fanaticos y mariquitas es lo que son todos ustedes y además son capaces, seguro, de organizar un golpe. Vigilar a estos enfermizos:@policia @guardiacivil @zoidoJI",0,1,0,0,0,0
72,"@AlanPonce_29 @Nora_Ruvalcaba @RoyCampos @PGR_mx @TwitterSupport @RickDjMx @emarthaaide @ileana_Mex @sofimenem @CarlosTorresF_ @ManuelVegaCln @carmen_olvera @ysenger @MagdaGraciasFCH @AmyCe2 No manches.

Eso es de maricones.

Tirar a alguien de una silla de ruedas es no tener madre.

Pero a qué no lo hacen en un mitin, porque les va como al Ruso ese que madr
earon por prepotente",0,1,0,0,0,0
73,@SergioSarmiento @fernandeznorona Entre más viejo mas pendejo y más maricon Norona.,0,1,0,0,0,0
74,"@Americanis7a@eduardotrelles No te confundas wilo no solo Trelles sabia, lo sabíamos todos lo maricones q son y la mafia a favor de televisa",0,1,0,0,0,0
75,@Lexpedraza si pero en puñal,0,1,0,0,0,0
76,La partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,0,1,0,0,0,0
77,@poqkeeet Porque Eres Un Vato 🙄 Puta Lencha,1,0,0,0,0,0
78,@lemur____ Un maricon ofendido 😂,0,1,0,0,0,0
79,@MsCharlotteWWE tu padre es pendejos tu pendeja marica,0,1,0,0,0,0
80,"Todos tenemos ese amigo que dice ser gay únicamente para sabrosear a sus amigas 😂😂
Bien ahí campeón",0,1,0,0,0,0
81,"O mejor ""todos"", q incluye femenino, masculino, transgénero, homosexual, bisexual y lo q esta semana agregue la corrección política. url",0,0,0,0,1,0
82,Nos cooperamos para hacerle una restauración? A ese @clarketo ? Pero de culo que seguro es lo que busca arreglarse el closetero del clark. Su bautizo fue de 🥛 que se acuerde y regresa al buen camino 😂😂😂😂 url,0,1,0,0,0,0
83,"¿Qué pedo, putos? ¿Quién les infló tanto el ego, qué les da el valor o quién les hizo tanto daño?",0,1,0,0,0,0
